Data,Close_filled,Close_filled_std
2005-11-20,2227.07,-0.9007688551857416
2005-11-27,2263.01,-0.8940912639918949
2005-12-04,2273.37,-0.8921663935197677
2005-12-11,2256.73,-0.8952580773668909
2005-12-18,2252.48,-0.8960477201764026
2005-12-25,2249.42,-0.896616262999251
2006-01-01,2205.32,-0.90480996838736
2006-01-08,2305.62,-0.8861743980828851
2006-01-15,2317.04,-0.8840525814041502
2006-01-22,2247.7,-0.8969358360892181
2006-01-29,2304.23,-0.8864326577311723
2006-02-05,2262.58,-0.8941711572643867
2006-02-12,2261.88,-0.894301216080071
2006-02-19,2282.36,-0.8904960667297654
2006-02-26,2287.04,-0.889626530647762
2006-03-05,2302.6,-0.8867355089734088
2006-03-12,2262.04,-0.8942714883507716
2006-03-19,2306.48,-0.8860146115379014
2006-03-26,2312.82,-0.8848366502644182
2006-04-02,2339.79,-0.8798256698944114
2006-04-09,2339.02,-0.8799687345916641
2006-04-16,2320.105275456342,-0.883483058410439
2006-04-23,2342.86,-0.8792552690884818
2006-04-30,2322.57,-0.8830251167602443
2006-05-07,2342.57,-0.8793091505978365
2006-05-14,2243.78,-0.8976641654570501
2006-05-21,2193.88,-0.9069355010322575
2006-05-28,2210.37,-0.9038716869313522
2006-06-04,2219.41,-0.9021920702259439
2006-06-11,2135.06,-0.9178641575158988
2006-06-18,2129.95,-0.918813586870394
2006-06-25,2121.47,-0.9203891565232549
2006-07-02,2172.09,-0.9109840461662008
2006-07-09,2130.06,-0.9187931490565007
2006-07-16,2037.35,-0.9360185102023423
2006-07-23,2020.39,-0.9391696495080639
2006-07-30,2094.14,-0.9254670242841851
2006-08-06,2085.05,-0.9271559309049995
2006-08-13,2057.71,-0.932235656649011
2006-08-20,2163.95,-0.9124964443943008
2006-08-27,2140.29,-0.9168924323644292
2006-09-03,2193.16,-0.9070692758141042
2006-09-10,2165.79,-0.9121545755073592
2006-09-17,2235.59,-0.899185853600556
2006-09-24,2218.93,-0.9022812534138418
2006-10-01,2258.43,-0.8949422202430865
2006-10-08,2299.99,-0.8872204425576029
2006-10-15,2357.29,-0.8765741995023045
2006-10-22,2342.3,-0.8793593161410291
2006-10-29,2350.62,-0.8778134742174676
2006-11-05,2330.79,-0.8814978546674949
2006-11-12,2389.72,-0.8705487603699602
2006-11-19,2445.86,-0.8601180433520816
2006-11-26,2460.26,-0.8574425477151478
2006-12-03,2413.21,-0.8661843581122123
2006-12-10,2437.36,-0.861697328971105
2006-12-17,2457.2,-0.8580110905379964
2006-12-24,2401.18,-0.8684195117589006
2006-12-31,2415.29,-0.8657978976313219
